map:map10x10.json
player1:minmax
player2:mcts
F 6 5 | S archer
F 4 6 | F 6 8
F 4 4 | S swordsman
F 8 8 | F 6 4
F 3 3 | F 2 0
F 1 5 | S archer
F 8 9 | W
F 4 7 | F 0 3
F 7 6 | W
F 1 0 | F 2 1
F 5 8 | S archer
F 2 5 | S swordsman
F 3 6 | F 5 4
F 5 7 | W
F 7 5 | F 2 6
F 2 2 | W
S archer | W
F 2 3 | F 8 6
W | W
F 0 2 | S swordsman
S swordsman | W
F 4 3 | S swordsman
F 0 4 | W
S swordsman | F 0 5
F 7 8 | W
S swordsman | S swordsman
F 9 6 | W
S archer | S swordsman
S archer | W
S swordsman | S archer
S swordsman | W
S archer | W
S swordsman | S archer
S swordsman | W
S archer | S swordsman
S swordsman | W
S archer | S swordsman
S archer | W
W | W
S archer | W
S swordsman | W
S archer | S swordsman
S archer | S archer
S archer | S swordsman
S swordsman | S swordsman
W | W
W | W
S swordsman | S archer
S archer | W
S archer | W
S archer | W
W | W
W | S archer
S swordsman | S swordsman
S swordsman | S archer
S archer | W
W | S swordsman
S archer | W
W | W
S archer | S archer
S swordsman | W
W | S swordsman
S swordsman | W
S archer | S swordsman
W | S swordsman
S archer | W
S swordsman | S swordsman
W | W
S swordsman | W
W | S archer
W | W
S archer | S archer
S swordsman | W
W | W
S swordsman | S archer
W | W
S swordsman | S swordsman
S swordsman | W
S archer | W
W | W
W | S archer
S archer | S archer
S archer | W
S swordsman | W
W | W
S archer | S archer
S swordsman | W
W | S archer
W | W
S archer | S swordsman
W | W
S swordsman | W
