map:map10x10.json
player1:minmax
player2:mcts
F 5 8 | S archer
F 6 5 | S archer
F 7 5 | F 2 3
F 4 3 | S archer
F 0 3 | F 6 4
F 4 4 | F 0 4
F 2 5 | F 7 6
F 0 2 | F 2 6
F 8 9 | F 0 5
F 2 1 | F 5 4
F 1 5 | W
F 2 2 | F 2 2
F 4 6 | F 8 8
F 3 6 | W
F 4 7 | S swordsman
F 2 0 | W
F 3 3 | F 1 0
S swordsman | W
F 7 8 | S archer
S archer | W
F 5 7 | S swordsman
S swordsman | W
F 6 8 | F 8 6
S swordsman | W
F 2 2 | F 2 2
F 9 6 | F 9 6
S swordsman | S archer
F 9 6 | S archer
F 2 2 | W
S swordsman | W
S archer | S archer
S swordsman | S swordsman
S swordsman | W
W | W
S archer | W
W | S swordsman
S swordsman | S swordsman
S swordsman | S swordsman
S swordsman | S swordsman
W | W
S archer | W
S archer | S archer
S swordsman | W
W | S swordsman
S archer | S swordsman
S archer | W
S archer | W
S archer | S archer
S swordsman | W
S archer | S archer
S swordsman | W
S archer | S archer
S archer | W
S swordsman | S swordsman
W | W
S archer | W
S archer | W
S swordsman | S archer
S archer | S archer
S archer | W
S archer | S swordsman
S archer | S swordsman
W | W
W | S swordsman
S archer | W
S archer | W
W | W
S archer | S swordsman
S swordsman | S swordsman
W | S swordsman
S archer | S swordsman
S swordsman | S swordsman
S swordsman | W
S swordsman | W
W | S archer
W | W
S swordsman | S archer
S swordsman | W
S archer | S swordsman
S swordsman | W
W | W
S swordsman | S archer
W | W
S swordsman | S archer
S archer | W
S archer | S swordsman
S swordsman | S swordsman
S swordsman | W
S swordsman | W
S swordsman | S swordsman
S swordsman | S swordsman
S swordsman | S swordsman
