map:map10x10.json
player1:minmax
player2:mcts
F 4 3 | S archer
F 6 8 | S archer
F 5 8 | S archer
F 0 5 | F 0 5
F 7 6 | F 2 2
F 2 1 | F 7 5
F 8 9 | F 8 9
F 6 4 | F 4 4
F 0 5 | F 8 9
F 4 6 | F 4 6
F 8 8 | F 0 2
F 5 7 | F 0 3
F 5 4 | F 6 5
F 0 4 | F 3 3
F 8 6 | W
F 9 6 | F 7 8
F 2 5 | W
S swordsman | F 1 5
S archer | W
F 3 6 | F 3 6
S swordsman | F 2 3
F 1 0 | F 3 6
S archer | F 2 0
S archer | W
F 4 6 | S archer
F 2 6 | W
W | S archer
W | W
S archer | W
S swordsman | S archer
S archer | S archer
S archer | W
F 4 7 | S swordsman
S swordsman | S swordsman
S swordsman | S swordsman
S swordsman | W
S swordsman | S swordsman
S swordsman | S swordsman
W | S swordsman
S swordsman | W
S swordsman | S archer
S archer | W
S archer | S archer
S archer | W
S archer | W
S swordsman | W
S swordsman | S swordsman
S archer | S swordsman
W | W
W | W
S swordsman | S swordsman
W | S archer
S swordsman | S swordsman
S archer | S archer
S archer | S archer
W | S archer
S archer | S archer
S swordsman | S archer
W | W
W | W
S swordsman | W
S archer | S archer
S swordsman | S archer
S archer | S archer
W | S archer
S archer | S archer
W | S archer
S swordsman | W
W | W
W | S swordsman
S swordsman | W
S swordsman | S swordsman
W | S archer
W | S swordsman
S swordsman | S archer
W | S swordsman
S archer | S swordsman
W | S archer
S archer | S archer
S archer | S swordsman
S archer | S archer
W | W
S swordsman | S archer
S swordsman | S swordsman
S archer | W
S swordsman | S swordsman
S archer | W
S swordsman | S archer
S swordsman | S swordsman
S archer | W
W | S archer
S swordsman | S archer
