map:map10x10.json
player1:minmax
player2:mcts
F 4 3 | F 5 7
F 2 2 | S swordsman
F 2 0 | S archer
F 6 5 | F 4 4
F 0 3 | F 3 3
F 7 8 | F 8 8
F 2 3 | F 6 4
F 7 6 | S archer
F 9 6 | S archer
F 2 6 | F 0 4
F 7 5 | W
F 0 5 | F 5 4
F 2 5 | W
F 6 8 | F 8 6
F 2 1 | W
F 4 6 | F 3 6
F 4 7 | W
F 5 8 | W
S swordsman | S archer
F 1 5 | W
S swordsman | S swordsman
F 8 9 | W
S swordsman | F 0 2
W | W
S archer | F 1 0
S swordsman | W
S archer | S archer
S archer | W
W | W
S archer | W
S archer | S archer
W | S archer
S archer | S swordsman
W | W
S swordsman | S swordsman
S archer | S swordsman
S archer | W
S swordsman | S swordsman
S swordsman | S swordsman
S swordsman | W
W | S swordsman
S swordsman | S swordsman
W | W
S swordsman | W
W | S archer
S swordsman | W
S swordsman | S swordsman
S archer | W
S archer | S archer
S swordsman | S swordsman
W | W
S archer | S swordsman
S swordsman | S swordsman
S archer | W
S swordsman | W
W | W
S archer | S archer
S swordsman | S swordsman
S archer | S swordsman
S archer | W
S swordsman | S archer
S swordsman | W
W | S swordsman
S archer | S swordsman
W | S archer
W | W
S archer | S swordsman
S archer | W
S archer | S archer
W | S swordsman
S swordsman | S archer
W | S archer
S swordsman | S swordsman
S swordsman | S archer
S swordsman | W
S swordsman | S archer
S archer | S archer
S swordsman | W
W | S swordsman
S swordsman | S archer
S archer | S archer
S archer | S archer
S archer | S archer
S archer | S archer
W | S archer
S archer | S swordsman
S swordsman | S archer
W | S swordsman
W | S archer
S archer | S archer
S swordsman | S archer
S archer | S swordsman
