map:map10x10.json
player1:minmax
player2:mcts
F 5 8 | F 5 4
F 2 5 | F 8 6
F 2 6 | F 6 4
F 6 8 | S archer
F 3 6 | F 5 7
F 0 2 | S archer
F 3 3 | S archer
F 4 3 | F 1 5
F 2 0 | T 1 0
F 7 8 | W
F 2 3 | F 0 4
F 9 6 | W
F 4 4 | W
F 7 5 | F 7 5
F 7 6 | F 6 5
F 4 7 | F 7 5
F 8 9 | W
F 8 8 | W
F 4 6 | F 4 6
S archer | S archer
F 0 3 | W
S archer | W
F 2 2 | S swordsman
F 4 6 | F 2 1
S swordsman | W
T 0 5 | S swordsman
S swordsman | W
S swordsman | W
W | S archer
S swordsman | S swordsman
S swordsman | W
S archer | S swordsman
S swordsman | W
W | W
S swordsman | S archer
S swordsman | S swordsman
W | W
S archer | S swordsman
W | W
S swordsman | W
S archer | S swordsman
S archer | S swordsman
W | W
S archer | W
S archer | S archer
S swordsman | W
S archer | S swordsman
S archer | S swordsman
S swordsman | W
W | W
S swordsman | W
S archer | W
S archer | S archer
W | S archer
S swordsman | W
S swordsman | S swordsman
S swordsman | W
S archer | W
S swordsman | S archer
S swordsman | S swordsman
S archer | W
W | S swordsman
W | W
S swordsman | W
S swordsman | S swordsman
W | S swordsman
S archer | S swordsman
S archer | W
S archer | S swordsman
S swordsman | W
W | S swordsman
W | W
S archer | W
S archer | W
S archer | S swordsman
S archer | S archer
W | W
S swordsman | S swordsman
S swordsman | W
S swordsman | S archer
S swordsman | W
S archer | S swordsman
S archer | W
S swordsman | S swordsman
S archer | W
W | S archer
S archer | W
S archer | S swordsman
W | S swordsman
S archer | S swordsman
W | S archer
S archer | S swordsman
