map:map10x10.json
player1:minmax
player2:mcts
F 8 6 | S archer
F 7 8 | F 0 3
F 0 4 | S archer
F 4 7 | S swordsman
F 6 5 | S archer
F 5 7 | S swordsman
F 3 3 | F 0 2
F 8 8 | F 4 3
F 8 9 | F 1 5
F 7 5 | W
F 7 6 | F 7 6
F 5 8 | F 2 2
F 2 5 | W
F 2 1 | F 4 4
F 2 3 | W
F 2 0 | W
S archer | F 6 8
F 5 4 | W
S archer | F 0 5
W | W
F 9 6 | F 6 4
S archer | W
F 2 6 | F 3 6
S swordsman | W
F 4 6 | F 7 6
S swordsman | W
W | F 1 0
S swordsman | W
W | W
S swordsman | S archer
S archer | S archer
S swordsman | W
S archer | S archer
W | W
S swordsman | S archer
S archer | W
S swordsman | W
S archer | S swordsman
S swordsman | W
S archer | W
S swordsman | W
S archer | W
W | W
S archer | S swordsman
S archer | S swordsman
S swordsman | S archer
S archer | S archer
S archer | S archer
W | W
S swordsman | S swordsman
W | W
S swordsman | S archer
S archer | S swordsman
S archer | S swordsman
W | S swordsman
S archer | W
S swordsman | S archer
S swordsman | S archer
S swordsman | W
S archer | S swordsman
S archer | S archer
W | S swordsman
W | S swordsman
S archer | W
S swordsman | W
S archer | S swordsman
S swordsman | S archer
S archer | S archer
S archer | W
W | S swordsman
S swordsman | S archer
S swordsman | S archer
W | W
S archer | S archer
W | W
W | S archer
S swordsman | S archer
S archer | S archer
W | S swordsman
S archer | S swordsman
W | S archer
S swordsman | W
S archer | S swordsman
W | W
S archer | S archer
S archer | S archer
S swordsman | S swordsman
W | W
W | S swordsman
S archer | S archer
S archer | S swordsman
S swordsman | S archer
