map:map10x10.json
player1:minmax
player2:mcts
F 2 2 | F 8 6
F 3 6 | F 0 3
F 6 4 | F 8 9
F 5 4 | F 2 5
F 4 3 | S archer
F 4 7 | S archer
F 2 1 | S archer
F 8 8 | S archer
F 9 6 | F 9 6
F 7 6 | S swordsman
F 2 3 | F 2 0
F 4 4 | W
F 7 8 | F 7 8
F 4 6 | F 1 0
F 0 2 | W
F 6 8 | F 2 6
F 9 6 | W
F 5 7 | F 6 5
F 1 5 | W
F 3 3 | F 7 8
F 0 5 | W
S archer | S swordsman
S archer | W
S swordsman | F 0 4
S archer | W
F 5 8 | W
W | S archer
S swordsman | W
T 7 5 | S archer
S archer | W
W | W
S swordsman | W
W | S swordsman
S archer | S archer
S swordsman | S swordsman
S swordsman | W
S archer | S swordsman
S archer | S swordsman
S swordsman | W
S swordsman | S swordsman
S swordsman | W
S archer | S swordsman
S swordsman | S swordsman
S swordsman | W
S swordsman | W
S swordsman | S swordsman
S swordsman | W
S swordsman | S swordsman
S swordsman | S archer
W | W
S swordsman | W
W | S swordsman
S archer | S archer
S archer | W
W | W
S archer | S swordsman
S archer | W
W | S archer
S archer | W
W | S swordsman
S archer | W
S archer | S swordsman
W | S archer
S swordsman | S swordsman
W | S swordsman
W | S archer
S archer | S archer
S archer | S archer
S swordsman | S swordsman
S swordsman | S swordsman
S swordsman | S archer
S swordsman | S archer
S archer | S swordsman
S swordsman | S swordsman
S archer | S archer
S archer | S swordsman
S archer | S archer
W | W
S archer | S archer
S swordsman | S archer
S swordsman | S archer
S archer | S archer
S swordsman | S swordsman
S swordsman | S swordsman
W | S swordsman
W | S swordsman
S archer | W
S swordsman | W
S swordsman | S swordsman
S archer | S swordsman
S archer | S swordsman
S swordsman | S swordsman
