map:map5x5.json
player1:minmax
player2:mcts
F 0 1 | S archer
F 3 2 | S archer
F 3 3 | F 3 3
F 3 3 | F 3 1
F 1 3 | S archer
S archer | F 1 1
F 1 2 | S archer
S swordsman | S archer
S archer | S swordsman
F 4 3 | W
F 1 4 | S swordsman
F 3 0 | W
S swordsman | W
W | W
W | W
S archer | W
W | S swordsman
S swordsman | W
W | W
S swordsman | W
W | W
S swordsman | W
S swordsman | W
W | S archer
W | W
S swordsman | W
S archer | W
S swordsman | W
S archer | S swordsman
W | W
S swordsman | W
S swordsman | W
S archer | W
S swordsman | W
S swordsman | W
S archer | S archer
S archer | W
W | W
S archer | W
S swordsman | W
S swordsman | W
S swordsman | S swordsman
S swordsman | W
S archer | W
W | W
S archer | W
W | S swordsman
S swordsman | W
W | W
W | W
S swordsman | W
S swordsman | S swordsman
W | W
S swordsman | W
W | W
S swordsman | W
W | S swordsman
S swordsman | W
W | W
S swordsman | W
