map:map5x5.json
player1:minmax
player2:mcts
F 3 2 | T 3 0
F 3 1 | F 3 3
F 1 4 | F 1 4
F 1 2 | S archer
F 4 3 | T 1 4
F 1 3 | T 1 3
F 1 3 | T 1 3
F 1 1 | F 1 3
F 0 1 | T 0 1
F 0 1 | T 0 1
S archer | T 0 1
S swordsman | S swordsman
S archer | W
S archer | S swordsman
S archer | W
S swordsman | S swordsman
S archer | W
W | W
W | W
S swordsman | W
S swordsman | W
W | S swordsman
S archer | W
S swordsman | W
W | W
W | W
S archer | S swordsman
S swordsman | W
S swordsman | W
W | W
W | S swordsman
S swordsman | W
W | W
W | W
S swordsman | W
W | W
